"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";20.5;112
"'s-Hertogenbosch";46.4;72
"Aa en Hunze";3.9;1
"Aalsmeer";18.8;6
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";14.9;3
"Albrandswaard";19.5;5
"Alkmaar";21.9;24
"Almelo";16.4;12
"Almere";28.8;61
"Alphen aan den Rijn";29.5;33
"Alphen-Chaam";97.9;10
"Altena";33.9;19
"Ameland";0;0
"Amersfoort";17.8;28
"Amstelveen";33.8;31
"Amsterdam";30.1;263
"Apeldoorn";13.4;22
"Appingedam";8.6;1
"Arnhem";20.5;33
"Assen";10.2;7
"Asten";35.9;6
"Baarle-Nassau";14.6;1
"Baarn";16.1;4
"Barendrecht";37;18
"Barneveld";13.5;8
"Beek";44.1;7
"Beekdaelen";77.8;28
"Beemster";20;2
"Beesel";81.6;11
"Berg en Dal";54.3;19
"Bergeijk";26.8;5
"Bergen (L.)";22.9;3
"Bergen (NH.)";36.9;11
"Bergen op Zoom";19.3;13
"Berkelland";2.3;1
"Bernheze";208;65
"Best";70;21
"Beuningen";54.1;14
"Beverwijk";16.8;7
"Bladel";53.9;11
"Blaricum";43.3;5
"Bloemendaal";12.7;3
"Bodegraven-Reeuwijk";8.6;3
"Boekel";241.1;26
"Borger-Odoorn";3.9;1
"Borne";42.9;10
"Borsele";13.2;3
"Boxmeer";37.5;11
"Boxtel";29.2;9
"Breda";65.7;121
"Brielle";28.9;5
"Bronckhorst";2.8;1
"Brummen";24.1;5
"Brunssum";75.5;21
"Bunnik";26.3;4
"Bunschoten";9.1;2
"Buren";18.7;5
"Capelle aan den IJssel";34.3;23
"Castricum";22.2;8
"Coevorden";17;6
"Cranendonck";179.5;38
"Cuijk";23.9;6
"Culemborg";58.7;17
"Dalfsen";31.5;9
"Dantumadiel";5.3;1
"De Bilt";30.1;13
"De Fryske Marren";21.3;11
"De Ronde Venen";36;16
"De Wolden";8.2;2
"Delft";22.2;23
"Delfzijl";16.2;4
"Den Helder";10.7;6
"Deurne";120.1;39
"Deventer";24.8;25
"Diemen";13;4
"Dinkelland";56.7;15
"Doesburg";27.1;3
"Doetinchem";8.6;5
"Dongen";38.1;10
"Dordrecht";26.8;32
"Drechterland";5.1;1
"Drimmelen";51.3;14
"Dronten";28.9;12
"Druten";68.7;13
"Duiven";15.9;4
"Echt-Susteren";69.6;22
"Edam-Volendam";27.6;10
"Ede";26.5;31
"Eemnes";10.8;1
"Eersel";77.7;15
"Eijsden-Margraten";93.2;24
"Eindhoven";29.4;69
"Elburg";17.3;4
"Emmen";5.6;6
"Enkhuizen";75.3;14
"Enschede";17.5;28
"Epe";30.1;10
"Ermelo";40.7;11
"Etten-Leur";59.3;26
"Geertruidenberg";37.1;8
"Geldrop-Mierlo";32.7;13
"Gemert-Bakel";185.5;57
"Gennep";65;11
"Gilze en Rijen";56.7;15
"Goeree-Overflakkee";57.9;29
"Goes";18.4;7
"Goirle";79.5;19
"Gooise Meren";25.8;15
"Gorinchem";27;10
"Gouda";20.4;15
"Grave";88.4;11
"Groningen";5.2;12
"Gulpen-Wittem";70.5;10
"Haaksbergen";24.7;6
"Haaren";97.4;14
"Haarlem";19.6;32
"Haarlemmermeer";21.8;34
"Halderberge";29.7;9
"Hardenberg";16.4;10
"Harderwijk";16.5;8
"Hardinxveld-Giessendam";5.5;1
"Harlingen";6.4;1
"Hattem";40.9;5
"Heemskerk";43.4;17
"Heemstede";18.4;5
"Heerde";102.2;19
"Heerenveen";13.9;7
"Heerhugowaard";33;19
"Heerlen";75.8;66
"Heeze-Leende";37.2;6
"Heiloo";20.9;5
"Hellendoorn";11.1;4
"Hellevoetsluis";14.9;6
"Helmond";48.7;45
"Hendrik-Ido-Ambacht";9.6;3
"Hengelo";9.9;8
"Het Hogeland";8.4;4
"Heumen";60.8;10
"Heusden";64.9;29
"Hillegom";18;4
"Hilvarenbeek";32.2;5
"Hilversum";17.6;16
"Hoeksche Waard";40;35
"Hof van Twente";28.6;10
"Hollands Kroon";43.4;21
"Hoogeveen";9;5
"Hoorn";21.8;16
"Horst aan de Maas";68.3;29
"Houten";23.9;12
"Huizen";29.1;12
"Hulst";14.5;4
"IJsselstein";61.6;21
"Kaag en Braassem";14.7;4
"Kampen";69.9;38
"Kapelle";7.9;1
"Katwijk";16.7;11
"Kerkrade";65.6;30
"Koggenland";26.4;6
"Krimpen aan den IJssel";13.5;4
"Krimpenerwaard";49.7;28
"Laarbeek";106.5;24
"Landerd";139.9;22
"Landgraaf";58.7;22
"Landsmeer";26.1;3
"Langedijk";28.4;8
"Lansingerland";28.8;18
"Laren";62.1;7
"Leeuwarden";16.9;21
"Leiden";14.4;18
"Leiderdorp";18.5;5
"Leidschendam-Voorburg";10.5;8
"Lelystad";34.3;27
"Leudal";97.5;35
"Leusden";16.4;5
"Lingewaard";38.6;18
"Lisse";13.1;3
"Lochem";8.9;3
"Loon op Zand";64.1;15
"Lopik";69.1;10
"Loppersum";0;0
"Losser";13.2;3
"Maasdriel";43.9;11
"Maasgouw";54.3;13
"Maassluis";27.1;9
"Maastricht";63.3;77
"Medemblik";22.2;10
"Meerssen";37.2;7
"Meierijstad";152.7;124
"Meppel";11.8;4
"Middelburg";24.6;12
"Midden-Delfland";15.5;3
"Midden-Drenthe";12.1;4
"Midden-Groningen";6.6;4
"Mill en Sint Hubert";54.8;6
"Moerdijk";16.2;6
"Molenlanden";22.8;10
"Montferland";11.1;4
"Montfoort";64.7;9
"Mook en Middelaar";38.2;3
"Neder-Betuwe";106.8;26
"Nederweert";141;24
"Nieuwegein";31.5;20
"Nieuwkoop";17.4;5
"Nijkerk";32.4;14
"Nijmegen";46.7;83
"Nissewaard";25.8;22
"Noardeast-Fryslân";8.8;4
"Noord-Beveland";0;0
"Noordenveld";3.2;1
"Noordoostpolder";14.8;7
"Noordwijk";18.4;8
"Nuenen, Gerwen en Nederwetten";47.1;11
"Nunspeet";68.2;19
"Oegstgeest";12.1;3
"Oirschot";32;6
"Oisterwijk";38.1;10
"Oldambt";2.6;1
"Oldebroek";33.8;8
"Oldenzaal";31.4;10
"Olst-Wijhe";32.9;6
"Ommen";33.3;6
"Oost Gelre";6.8;2
"Oosterhout";44.7;25
"Ooststellingwerf";3.9;1
"Oostzaan";41.1;4
"Opmeer";8.4;1
"Opsterland";13.4;4
"Oss";93.5;86
"Oude IJsselstreek";7.6;3
"Ouder-Amstel";28.5;4
"Oudewater";156.5;16
"Overbetuwe";81.4;39
"Papendrecht";3.1;1
"Peel en Maas";251;109
"Pekela";32.8;4
"Pijnacker-Nootdorp";18.1;10
"Purmerend";46.8;38
"Putten";4.1;1
"Raalte";47.7;18
"Reimerswaal";17.6;4
"Renkum";35;11
"Renswoude";18.4;1
"Reusel-De Mierden";38.1;5
"Rheden";54.9;24
"Rhenen";14.9;3
"Ridderkerk";49.8;23
"Rijssen-Holten";34.1;13
"Rijswijk";23.9;13
"Roerdalen";82.6;17
"Roermond";51.5;30
"Roosendaal";15.5;12
"Rotterdam";23.2;151
"Rozendaal";58.7;1
"Rucphen";17.5;4
"Schagen";21.5;10
"Scherpenzeel";0;0
"Schiedam";26.7;21
"Schiermonnikoog";0;0
"Schouwen-Duiveland";20.7;7
"Simpelveld";75.8;8
"Sint Anthonis";119.9;14
"Sint-Michielsgestel";51.4;15
"Sittard-Geleen";59.5;55
"Sliedrecht";7.9;2
"Sluis";17.2;4
"Smallingerland";8.9;5
"Soest";21.5;10
"Someren";72.3;14
"Son en Breugel";109.7;19
"Stadskanaal";0;0
"Staphorst";5.8;1
"Stede Broec";50.6;11
"Steenbergen";28.6;7
"Steenwijkerland";15.9;7
"Stein";96;24
"Stichtse Vecht";27.7;18
"Súdwest-Fryslân";14.4;13
"Terneuzen";25.7;14
"Terschelling";0;0
"Texel";14.7;2
"Teylingen";18.7;7
"Tholen";97.1;25
"Tiel";49.8;21
"Tilburg";56.4;124
"Tubbergen";37.6;8
"Twenterand";17.8;6
"Tynaarlo";14.8;5
"Tytsjerksteradiel";9.4;3
"Uden";182.8;77
"Uitgeest";22;3
"Uithoorn";30.5;9
"Urk";57.1;12
"Utrecht";25.2;90
"Utrechtse Heuvelrug";22.2;11
"Vaals";59.4;6
"Valkenburg aan de Geul";18.3;3
"Valkenswaard";25.6;8
"Veendam";3.7;1
"Veenendaal";10.5;7
"Veere";13.7;3
"Veldhoven";19.8;9
"Velsen";23.3;16
"Venlo";70.7;72
"Venray";52.7;23
"Vijfheerenlanden";21.1;12
"Vlaardingen";21.8;16
"Vlieland";0;0
"Vlissingen";13.5;6
"Voerendaal";56.1;7
"Voorschoten";19.5;5
"Voorst";24.4;6
"Vught";94.1;25
"Waadhoeke";8.7;4
"Waalre";5.7;1
"Waalwijk";30.9;15
"Waddinxveen";20.5;6
"Wageningen";15.1;6
"Wassenaar";7.6;2
"Waterland";45.9;8
"Weert";61.9;31
"Weesp";25.3;5
"West Betuwe";29.3;15
"West Maas en Waal";46.6;9
"Westerkwartier";15.8;10
"Westerveld";10.3;2
"Westervoort";20;3
"Westerwolde";15.5;4
"Westland";25.4;28
"Weststellingwerf";7.7;2
"Westvoorne";27.2;4
"Wierden";8.2;2
"Wijchen";75.4;31
"Wijdemeren";20.5;5
"Wijk bij Duurstede";29.3;7
"Winterswijk";3.5;1
"Woensdrecht";18.3;4
"Woerden";49.7;26
"Wormerland";61.4;10
"Woudenberg";15;2
"Zaanstad";22.3;35
"Zaltbommel";34.6;10
"Zandvoort";35.1;6
"Zeewolde";22.1;5
"Zeist";23.1;15
"Zevenaar";45.7;20
"Zoetermeer";18.4;23
"Zoeterwoude";23.2;2
"Zuidplas";22.8;10
"Zundert";64.2;14
"Zutphen";18.8;9
"Zwartewaterland";92.6;21
"Zwijndrecht";20.1;9
"Zwolle";25.6;33